
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,wip1,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,CellCycleArrest,0.841,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
1,CellCycleArrest,0.841,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
2,CellCycleArrest,0.0256,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
3,CellCycleArrest,0.0387,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
4,CellCycleArrest,0.049,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
5,CellCycleArrest,0.0343,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.0079,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
7,CellCycleArrest,0.0035,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
