Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
,,,,,,,,,,,,,
1,Stationary G1 phase,0.506752567,0,0,0,0,1,0,0,0,1,0,0
2,Uncharacterized,0.123636462,0,0,1,1,0,0,0,0,0,0,0
3,Uncharacterized,0.091798011,0,0,0,0,0,0,0,0,0,0,0
4,Uncharacterized,0.087340522,0,0,0,0,0,0,0,0,1,0,0
5,Uncharacterized,0.082081597,0,1,0,0,1,0,0,0,1,0,0
6,Uncharacterized,0.059610731,0,0,0,0,1,0,0,0,0,0,0
7,Uncharacterized,0.01831219,0,1,0,0,0,0,0,0,1,0,0
8,Excited G1 state,0.004283424,0,0,0,0,1,1,0,0,1,0,0
9,M phase,0.002773874,0,0,0,0,1,1,1,0,1,0,0
10,M phase,0.002150689,0,0,0,0,0,1,1,0,0,1,1
11,M phase,0.002140488,0,0,0,0,0,1,1,0,1,1,1
12,M phase,0.002138142,0,0,0,0,0,1,1,0,1,0,1
13,M phase,0.001261567,0,0,0,1,0,0,1,1,0,1,1
14,S phase,0.001137073,0,1,1,1,0,0,0,1,0,0,0
15,G2 phase,0.001134235,0,1,1,1,0,0,0,1,0,1,1
16,Excited G1 state,0.001047638,0,1,1,1,0,0,0,0,0,0,0
17,Excited G1 state,0.00067346,0,1,1,1,1,0,0,0,1,0,0
18,Excited G1 state,0.000672718,0,1,1,0,1,0,0,0,1,0,0
19,Uncharacterized,0.000508896,0,0,1,1,1,0,0,0,1,0,0
20,Uncharacterized,0.000507769,0,0,0,1,1,0,0,0,1,0,0
21,Uncharacterized,0.000507381,0,0,0,0,1,0,1,0,1,0,0
22,Uncharacterized,0.00050731,0,0,1,0,1,0,0,0,1,0,0
23,Uncharacterized,0.00050726,0,0,0,0,1,0,0,0,1,0,1
24,Start signal,0.00050726,1,0,0,0,1,0,0,0,1,0,0
25,Uncharacterized,0.000305625,0,0,0,0,0,0,1,1,0,1,1
26,Uncharacterized,0.000299639,0,0,0,0,0,1,1,1,0,1,1
27,Uncharacterized,0.00028961,0,1,0,0,1,1,0,0,1,0,0
28,Uncharacterized,0.000246393,0,0,1,1,0,1,0,0,0,0,0
29,Uncharacterized,0.000240241,0,1,0,0,0,1,1,1,0,1,1
30,Uncharacterized,0.000239759,0,1,0,0,0,0,0,1,0,0,1
31,Uncharacterized,0.00021545,0,0,1,0,0,0,0,0,0,0,0
32,Uncharacterized,0.000214824,0,0,0,1,0,0,0,0,0,0,0
33,Uncharacterized,0.000210707,0,1,0,0,0,0,0,0,0,0,0
34,Uncharacterized,0.000210619,0,1,0,0,0,0,0,1,0,1,1
35,Uncharacterized,0.00021013,0,1,0,0,0,0,0,1,0,0,0
