
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,wip1,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,Apoptosis,0.23828,Point,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1
2,Apoptosis,0.13672,Point,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1
3,Senescence,0.09766,Point,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
4,CellCycleArrest,0.42188,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
5,Senescence,0.02734,Point,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
6,CellCycleArrest,0.02734,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
7,CellCycleArrest,0.01172,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
8,CellCycleArrest,0.01172,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
9,CellCycleArrest,0.02734,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
