
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,CellCycleArrest,0.03906,Cyclic,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
1,CellCycleArrest,0.03906,Cyclic,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
1,CellCycleArrest,0.03906,Cyclic,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
1,CellCycleArrest,0.03906,Cyclic,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
1,CellCycleArrest,0.03906,Cyclic,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
1,CellCycleArrest,0.03906,Cyclic,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
2,Apoptosis,0.04688,Point,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1
3,CellCycleArrest,0.77734,Cyclic,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
3,CellCycleArrest,0.77734,Cyclic,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
3,CellCycleArrest,0.77734,Cyclic,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
3,CellCycleArrest,0.77734,Cyclic,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
3,CellCycleArrest,0.77734,Cyclic,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
3,CellCycleArrest,0.77734,Cyclic,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
4,CellCycleArrest,0.12109,Cyclic,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
5,Apoptosis,0.00391,Point,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1
6,CellCycleArrest,0.01172,Cyclic,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
6,CellCycleArrest,0.01172,Cyclic,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.01172,Cyclic,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0
6,CellCycleArrest,0.01172,Cyclic,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
6,CellCycleArrest,0.01172,Cyclic,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
6,CellCycleArrest,0.01172,Cyclic,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0
