Attractor, Associated Cell Fate,Probability,cln3,mbf,sbf,cln12,cdh1,swi5,cdc20,clb56,sic1,clb12,mcm1
,,,,,,,,,,,,,
1,Uncharacterized,0.082583951,0,0,0,0,0,0,0,0,0,0,0
2,Uncharacterized,0.000110942,0,0,0,0,0,0,0,0,0,0,1
3,Uncharacterized,8.19E-05,0,0,0,0,0,0,0,0,0,1,0
4,Uncharacterized,1.73E-07,0,0,0,0,0,0,0,0,0,1,1
5,Uncharacterized,0.077631105,0,0,0,0,0,0,0,0,1,0,0
6,Uncharacterized,7.79E-05,0,0,0,0,0,0,0,0,1,0,1
7,Uncharacterized,3.66E-06,0,0,0,0,0,0,0,0,1,1,0
8,Uncharacterized,3.77E-09,0,0,0,0,0,0,0,0,1,1,1
9,Uncharacterized,8.22E-05,0,0,0,0,0,0,0,1,0,0,0
10,Uncharacterized,5.79E-05,0,0,0,0,0,0,0,1,0,0,1
11,Uncharacterized,8.59E-08,0,0,0,0,0,0,0,1,0,1,0
12,Uncharacterized,8.20E-05,0,0,0,0,0,0,0,1,0,1,1
13,Uncharacterized,3.69E-06,0,0,0,0,0,0,0,1,1,0,0
14,Uncharacterized,6.49E-09,0,0,0,0,0,0,0,1,1,0,1
15,Uncharacterized,3.24E-10,0,0,0,0,0,0,0,1,1,1,0
16,Uncharacterized,3.79E-09,0,0,0,0,0,0,0,1,1,1,1
17,Uncharacterized,8.27E-05,0,0,0,0,0,0,1,0,0,0,0
18,Uncharacterized,7.63E-06,0,0,0,0,0,0,1,0,0,0,1
19,Uncharacterized,9.10E-08,0,0,0,0,0,0,1,0,0,1,0
20,Uncharacterized,8.30E-05,0,0,0,0,0,0,1,0,0,1,1
21,Uncharacterized,7.77E-05,0,0,0,0,0,0,1,0,1,0,0
22,Uncharacterized,0.000115078,0,0,0,0,0,0,1,0,1,0,1
23,Uncharacterized,6.03E-09,0,0,0,0,0,0,1,0,1,1,0
24,Uncharacterized,2.17E-06,0,0,0,0,0,0,1,0,1,1,1
25,Uncharacterized,8.23E-08,0,0,0,0,0,0,1,1,0,0,0
26,Uncharacterized,6.54E-08,0,0,0,0,0,0,1,1,0,0,1
27,Uncharacterized,1.28E-08,0,0,0,0,0,0,1,1,0,1,0
28,Uncharacterized,0.000279582,0,0,0,0,0,0,1,1,0,1,1
29,Uncharacterized,3.70E-09,0,0,0,0,0,0,1,1,1,0,0
30,Uncharacterized,5.13E-09,0,0,0,0,0,0,1,1,1,0,1
31,Uncharacterized,6.33E-13,0,0,0,0,0,0,1,1,1,1,0
32,Uncharacterized,9.21E-10,0,0,0,0,0,0,1,1,1,1,1
33,Uncharacterized,8.30E-05,0,0,0,0,0,1,0,0,0,0,0
34,Uncharacterized,1.93E-07,0,0,0,0,0,1,0,0,0,0,1
35,Uncharacterized,8.71E-08,0,0,0,0,0,1,0,0,0,1,0
36,Uncharacterized,9.48E-08,0,0,0,0,0,1,0,0,0,1,1
37,Uncharacterized,7.79E-05,0,0,0,0,0,1,0,0,1,0,0
38,Uncharacterized,1.85E-07,0,0,0,0,0,1,0,0,1,0,1
39,Uncharacterized,3.69E-09,0,0,0,0,0,1,0,0,1,1,0
40,Uncharacterized,9.40E-08,0,0,0,0,0,1,0,0,1,1,1
41,Uncharacterized,8.23E-08,0,0,0,0,0,1,0,1,0,0,0
42,Uncharacterized,5.81E-08,0,0,0,0,0,1,0,1,0,0,1
43,Uncharacterized,9.41E-11,0,0,0,0,0,1,0,1,0,1,0
44,Uncharacterized,9.54E-08,0,0,0,0,0,1,0,1,0,1,1
45,Uncharacterized,3.62E-09,0,0,0,0,0,1,0,1,1,0,0
46,Uncharacterized,7.54E-12,0,0,0,0,0,1,0,1,1,0,1
47,Uncharacterized,2.64E-13,0,0,0,0,0,1,0,1,1,1,0
48,Uncharacterized,1.89E-11,0,0,0,0,0,1,0,1,1,1,1
49,Uncharacterized,0.000115079,0,0,0,0,0,1,1,0,0,0,0
50,Uncharacterized,4.15E-07,0,0,0,0,0,1,1,0,0,0,1
51,Uncharacterized,0.000110797,0,0,0,0,0,1,1,0,0,1,0
52,M phase,0.002080889,0,0,0,0,0,1,1,0,0,1,1
53,Uncharacterized,8.30E-05,0,0,0,0,0,1,1,0,1,0,0
54,M phase,0.002067287,0,0,0,0,0,1,1,0,1,0,1
55,Uncharacterized,2.45E-06,0,0,0,0,0,1,1,0,1,1,0
56,M phase,0.002070294,0,0,0,0,0,1,1,0,1,1,1
57,Uncharacterized,5.42E-09,0,0,0,0,0,1,1,1,0,0,0
58,Uncharacterized,1.09E-08,0,0,0,0,0,1,1,1,0,0,1
59,Uncharacterized,1.80E-07,0,0,0,0,0,1,1,1,0,1,0
60,Uncharacterized,0.00029473,0,0,0,0,0,1,1,1,0,1,1
61,Uncharacterized,3.56E-09,0,0,0,0,0,1,1,1,1,0,0
62,Uncharacterized,2.52E-10,0,0,0,0,0,1,1,1,1,0,1
63,Uncharacterized,4.14E-10,0,0,0,0,0,1,1,1,1,1,0
64,Uncharacterized,3.33E-07,0,0,0,0,0,1,1,1,1,1,1
65,Uncharacterized,0.058251081,0,0,0,0,1,0,0,0,0,0,0
66,Uncharacterized,5.83E-05,0,0,0,0,1,0,0,0,0,0,1
67,Uncharacterized,2.70E-06,0,0,0,0,1,0,0,0,0,1,0
68,Uncharacterized,2.71E-09,0,0,0,0,1,0,0,0,0,1,1
69,Stationary G1 phase,0.539020561,0,0,0,0,1,0,0,0,1,0,0
70,Uncharacterized,0.000539561,0,0,0,0,1,0,0,0,1,0,1
71,Uncharacterized,1.00E-08,0,0,0,0,1,0,0,0,1,1,0
72,Uncharacterized,1.01E-11,0,0,0,0,1,0,0,0,1,1,1
73,Uncharacterized,5.79E-05,0,0,0,0,1,0,0,1,0,0,0
74,Uncharacterized,6.06E-08,0,0,0,0,1,0,0,1,0,0,1
75,Uncharacterized,2.71E-09,0,0,0,0,1,0,0,1,0,1,0
76,Uncharacterized,3.72E-09,0,0,0,0,1,0,0,1,0,1,1
77,Uncharacterized,2.47E-05,0,0,0,0,1,0,0,1,1,0,0
78,Uncharacterized,2.47E-08,0,0,0,0,1,0,0,1,1,0,1
79,Uncharacterized,5.64E-12,0,0,0,0,1,0,0,1,1,1,0
80,Uncharacterized,1.78E-13,0,0,0,0,1,0,0,1,1,1,1
81,Uncharacterized,5.83E-05,0,0,0,0,1,0,1,0,0,0,0
82,Uncharacterized,6.15E-08,0,0,0,0,1,0,1,0,0,0,1
83,Uncharacterized,2.71E-09,0,0,0,0,1,0,1,0,0,1,0
84,Uncharacterized,3.75E-09,0,0,0,0,1,0,1,0,0,1,1
85,Uncharacterized,0.00053968,0,0,0,0,1,0,1,0,1,0,0
86,Uncharacterized,9.62E-07,0,0,0,0,1,0,1,0,1,0,1
87,Uncharacterized,1.80E-11,0,0,0,0,1,0,1,0,1,1,0
88,Uncharacterized,2.08E-09,0,0,0,0,1,0,1,0,1,1,1
89,Uncharacterized,5.80E-08,0,0,0,0,1,0,1,1,0,0,0
90,Uncharacterized,6.11E-11,0,0,0,0,1,0,1,1,0,0,1
91,Uncharacterized,2.72E-12,0,0,0,0,1,0,1,1,0,1,0
92,Uncharacterized,4.84E-11,0,0,0,0,1,0,1,1,0,1,1
93,Uncharacterized,2.47E-08,0,0,0,0,1,0,1,1,1,0,0
94,Uncharacterized,3.78E-11,0,0,0,0,1,0,1,1,1,0,1
95,Uncharacterized,6.12E-15,0,0,0,0,1,0,1,1,1,1,0
96,Uncharacterized,1.31E-13,0,0,0,0,1,0,1,1,1,1,1
97,Uncharacterized,5.84E-05,0,0,0,0,1,1,0,0,0,0,0
98,Uncharacterized,1.16E-07,0,0,0,0,1,1,0,0,0,0,1
99,Uncharacterized,2.71E-09,0,0,0,0,1,1,0,0,0,1,0
100,Uncharacterized,1.06E-11,0,0,0,0,1,1,0,0,0,1,1
101,Excited G1 state,0.004259021,0,0,0,0,1,1,0,0,1,0,0
102,Uncharacterized,4.37E-06,0,0,0,0,1,1,0,0,1,0,1
103,Uncharacterized,9.03E-09,0,0,0,0,1,1,0,0,1,1,0
104,Uncharacterized,1.06E-10,0,0,0,0,1,1,0,0,1,1,1
105,Uncharacterized,5.80E-08,0,0,0,0,1,1,0,1,0,0,0
106,Uncharacterized,2.03E-10,0,0,0,0,1,1,0,1,0,0,1
107,Uncharacterized,2.72E-12,0,0,0,0,1,1,0,1,0,1,0
108,Uncharacterized,4.33E-12,0,0,0,0,1,1,0,1,0,1,1
109,Uncharacterized,3.87E-08,0,0,0,0,1,1,0,1,1,0,0
110,Uncharacterized,1.81E-10,0,0,0,0,1,1,0,1,1,0,1
111,Uncharacterized,4.08E-13,0,0,0,0,1,1,0,1,1,1,0
112,Uncharacterized,1.19E-14,0,0,0,0,1,1,0,1,1,1,1
113,Uncharacterized,5.85E-05,0,0,0,0,1,1,1,0,0,0,0
114,Uncharacterized,6.79E-09,0,0,0,0,1,1,1,0,0,0,1
115,Uncharacterized,1.68E-07,0,0,0,0,1,1,1,0,0,1,0
116,Uncharacterized,1.14E-07,0,0,0,0,1,1,1,0,0,1,1
117,M phase,0.002725512,0,0,0,0,1,1,1,0,1,0,0
118,Uncharacterized,4.37E-06,0,0,0,0,1,1,1,0,1,0,1
119,Uncharacterized,1.34E-07,0,0,0,0,1,1,1,0,1,1,0
120,Uncharacterized,2.07E-06,0,0,0,0,1,1,1,0,1,1,1
121,Uncharacterized,5.81E-08,0,0,0,0,1,1,1,1,0,0,0
122,Uncharacterized,3.52E-12,0,0,0,0,1,1,1,1,0,0,1
123,Uncharacterized,1.72E-10,0,0,0,0,1,1,1,1,0,1,0
124,Uncharacterized,1.33E-08,0,0,0,0,1,1,1,1,0,1,1
125,Uncharacterized,2.52E-08,0,0,0,0,1,1,1,1,1,0,0
126,Uncharacterized,6.61E-12,0,0,0,0,1,1,1,1,1,0,1
127,Uncharacterized,2.06E-12,0,0,0,0,1,1,1,1,1,1,0
128,Uncharacterized,1.05E-10,0,0,0,0,1,1,1,1,1,1,1
129,Uncharacterized,0.000197016,0,0,0,1,0,0,0,0,0,0,0
130,Uncharacterized,3.41E-07,0,0,0,1,0,0,0,0,0,0,1
131,Uncharacterized,1.96E-07,0,0,0,1,0,0,0,0,0,1,0
132,Uncharacterized,5.71E-09,0,0,0,1,0,0,0,0,0,1,1
133,Uncharacterized,7.78E-05,0,0,0,1,0,0,0,0,1,0,0
134,Uncharacterized,7.85E-08,0,0,0,1,0,0,0,0,1,0,1
135,Uncharacterized,3.67E-09,0,0,0,1,0,0,0,0,1,1,0
136,Uncharacterized,3.81E-12,0,0,0,1,0,0,0,0,1,1,1
137,Uncharacterized,1.98E-07,0,0,0,1,0,0,0,1,0,0,0
138,Uncharacterized,5.82E-08,0,0,0,1,0,0,0,1,0,0,1
139,Uncharacterized,2.07E-10,0,0,0,1,0,0,0,1,0,1,0
140,Uncharacterized,2.00E-07,0,0,0,1,0,0,0,1,0,1,1
141,Uncharacterized,3.71E-09,0,0,0,1,0,0,0,1,1,0,0
142,Uncharacterized,6.63E-12,0,0,0,1,0,0,0,1,1,0,1
143,Uncharacterized,3.30E-13,0,0,0,1,0,0,0,1,1,1,0
144,Uncharacterized,3.87E-12,0,0,0,1,0,0,0,1,1,1,1
