
Attractor,Associated Cell Fate,Basin Ratio,Attractor Type,atm,p53,mdm2,mdmx,wip1,cycg,pten,p21,akt,cyce,rb,e2f1,p14arf,bcl2,bax,caspases

1,Apoptosis,0.17969,Point,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1
2,Apoptosis,0.13281,Point,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1
3,Cell Cycle Arrest,0.53516,Cyclic,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0
3,Cell Cycle Arrest,0.53516,Cyclic,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
3,Cell Cycle Arrest,0.53516,Cyclic,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
3,Cell Cycle Arrest,0.53516,Cyclic,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0
3,Cell Cycle Arrest,0.53516,Cyclic,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
3,Cell Cycle Arrest,0.53516,Cyclic,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
4,Senescence,0.12891,Point,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0
5,Senescence,0.00391,Point,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0
6,Senescence,0.01953,Point,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
